Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2016,Honda,Pilot Touring,Used,"$21,529 ",4.8,,,,,,,,,,
2013,Honda,CR-V LX,Used,"$14,998 ",4.5,,,,,,,,,,
2023,Honda,Civic EX,New,"$27,600 ",4.5,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,960 ",4.7,,,,,,,,,,
2022,Honda,Pilot Black Edition,New,"$51,560 ",4.7,,,,,,,,,,
2023,Honda,Civic Sport,New,"$25,745 ",4.6,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$43,310 ",5,,,,,,,,,,
2022,Honda,CR-V Hybrid EX-L,Used,"$37,595 ",4.3,,,,,,,,,,
2020,Honda,CR-V Hybrid EX-L,Used,"$32,977 ",4.1,,,,,,,,,,
2015,Honda,Odyssey EX,Used,"$16,772 ",4.6,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$44,265 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.7,,,,,,,,,,
2022,Honda,Insight Touring,Used,"$31,998 ",4.7,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$34,055 ",5,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,310 ",4.4,,,,,,,,,,
2021,Honda,Ridgeline RTL,Honda Certified,"$39,000 ",4,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2023,Honda,HR-V LX,New,"$25,045 ",4.7,,,,,,,,,,
2023,Honda,Accord Hybrid Touring,New,"$38,985 ",4.8,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$45,760 ",5,,,,,,,,,,
2010,Honda,Civic LX,Used,"$8,900 ",5,,,,,,,,,,
2023,Honda,Pilot EX-L 8-Passenger,New,"$45,395 ",4.8,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$49,845 ",4.9,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$45,420 ",4.3,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$44,045 ",5,,,,,,,,,,
2022,Honda,Ridgeline Black Edition,New,"$46,865 ",5,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",5,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$42,073 ",4.9,,,,,,,,,,
2022,Honda,CR-V Touring,New,"$38,240 ",4.8,,,,,,,,,,
2017,Honda,Pilot EX-L,Used,"$25,990 ",4,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$47,795 ",4,,,,,,,,,,
2023,Honda,CR-V EX,New,"$32,750 ",4.7,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$29,145 ",4.6,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,250 ",4.4,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,770 ",5,,,,,,,,,,
2016,Honda,Civic LX,Used,"$15,750 ",4.6,,,,,,,,,,
2020,Honda,Passport EX-L,Used,"$33,488 ",5,,,,,,,,,,
2021,Honda,Passport Touring,Used,"$42,488 ",5,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$47,453 ",5,,,,,,,,,,
2020,Honda,Insight EX,Honda Certified,"$26,596 ",4.8,,,,,,,,,,
2012,Honda,CR-Z Base,Used,"$9,987 ",4.8,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,545 ",4.6,,,,,,,,,,
2022,Honda,CR-V Touring,New,"$37,820 ",4.2,,,,,,,,,,
2019,Honda,Civic LX,Used,"$20,998 ",4.9,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,600 ",4.4,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$41,498 ",4.8,,,,,,,,,,
2022,Honda,Odyssey Touring,Honda Certified,"$42,827 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",4.6,,,,,,,,,,
2015,Honda,Accord LX,Used,"$13,987 ",4.7,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",2.2,,,,,,,,,,
2022,Honda,Accord Sport SE,New,"$31,960 ",2.2,,,,,,,,,,
2022,Honda,Accord Sport SE,New,"$31,960 ",2.2,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",2.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$36,200 ",4.4,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,830 ",4.4,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$28,970 ",4.8,,,,,,,,,,
2018,Honda,Accord Sport,Used,"$22,995 ",4.8,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$27,270 ",5,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,145 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$44,538 ",4.5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.9,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$46,290 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,Pilot EX-L 8-Passenger,New,"$45,395 ",3.7,,,,,,,,,,
2019,Honda,Passport Touring,Used,"$28,741 ",4.2,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.6,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",5,,,,,,,,,,
2022,Honda,CR-V EX,Used,"$31,944 ",5,,,,,,,,,,
2022,Honda,CR-V EX,Used,"$32,344 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.7,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,160 ",4.5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,770 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$42,452 ",4.8,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,360 ",4.7,,,,,,,,,,
2023,Honda,Civic Sport,New,"$27,400 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.8,,,,,,,,,,
2023,Honda,HR-V LX,New,"$26,790 ",4.7,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",5,,,,,,,,,,
2010,Honda,Pilot Touring,Used,"$13,644 ",4.6,,,,,,,,,,
2008,Honda,Civic LX,Used,"$5,995 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,395 ",4,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",5,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$30,050 ",3,,,,,,,,,,
2023,Honda,Pilot Sport,New,"$42,940 ",3,,,,,,,,,,
2023,Honda,Civic Si Base,New,Not Priced,2.8,,,,,,,,,,
2023,Honda,Civic Si Base,New,Not Priced,2.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,505 ",4.6,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,Used,"$39,081 ",4.7,,,,,,,,,,
2022,Honda,Civic Si Base,Used,"$31,400 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.7,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$41,905 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,590 ",4.8,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,830 ",4.8,,,,,,,,,,
2005,Honda,Accord LX,Used,"$7,999 ",4.5,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.2,,,,,,,,,,
2017,Honda,Accord Hybrid Touring,Used,"$22,824 ",5,,,,,,,,,,
2023,Honda,Pilot EX-L 8-Passenger,New,"$44,968 ",4.7,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,Used,"$28,473 ",4.9,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$38,664 ",4.7,,,,,,,,,,
2023,Honda,Pilot EX-L 7-Passenger,New,"$45,695 ",5,,,,,,,,,,
2023,Honda,Civic EX-L,New,"$29,700 ",5,,,,,,,,,,
2017,Honda,Pilot Touring,Used,"$28,250 ",4.9,,,,,,,,,,
2013,Honda,Crosstour EX-L,Used,"$14,309 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,145 ",4.7,,,,,,,,,,
2023,Honda,Civic EX,New,"$27,540 ",4.5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$47,010 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,005 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$47,320 ",5,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$44,660 ",4,,,,,,,,,,
2012,Honda,Pilot LX,Used,"$16,990 ",4,,,,,,,,,,
2022,Honda,Pilot Black Edition,New,"$51,845 ",4.7,,,,,,,,,,
2019,Honda,Ridgeline Sport,Used,"$30,200 ",5,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$41,905 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",5,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$50,240 ",4.2,,,,,,,,,,
2018,Honda,Accord LX,Used,"$25,999 ",4.2,,,,,,,,,,
1981,Honda,Prelude,Used,"$11,998 ",4.6,,,,,,,,,,
2023,Honda,Civic Touring,New,"$31,145 ",4.9,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",4.7,,,,,,,,,,
2020,Honda,Civic Si Base,Used,"$28,257 ",5,,,,,,,,,,
2022,Honda,CR-V EX-L,New,"$35,040 ",4.9,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$42,852 ",4.2,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,160 ",4.7,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$29,650 ",5,,,,,,,,,,
2021,Honda,Pilot Elite,Used,"$38,990 ",4.3,,,,,,,,,,
2018,Honda,Accord Hybrid Touring,Used,"$26,590 ",4,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$50,240 ",4.7,,,,,,,,,,
2008,Honda,Accord LX,Used,"$6,995 ",4.4,,,,,,,,,,
2022,Honda,Passport TrailSport,Honda Certified,"$38,993 ",4.4,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,655 ",4.6,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,250 ",4.4,,,,,,,,,,
2018,Honda,Odyssey Elite,Used,"$31,998 ",4.2,,,,,,,,,,
2017,Honda,Ridgeline Black Edition,Used,"$31,988 ",5,,,,,,,,,,
2018,Honda,Odyssey EX-L,Used,"$32,995 ",4.1,,,,,,,,,,
2016,Honda,CR-Z LX,Used,"$17,996 ",4.8,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$44,591 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,589 ",5,,,,,,,,,,
2016,Honda,Odyssey EX-L,Used,"$23,880 ",4.5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$38,852 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$40,499 ",4.7,,,,,,,,,,
2018,Honda,Odyssey Touring,Used,"$34,994 ",4.6,,,,,,,,,,
2022,Honda,CR-V EX-L,New,"$34,644 ",4.8,,,,,,,,,,
2022,Honda,CR-V Touring,New,"$38,239 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$45,169 ",4.8,,,,,,,,,,
2023,Honda,Pilot EX-L,New,"$46,290 ",4.8,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$39,446 ",4.8,,,,,,,,,,
2022,Honda,Passport Elite,New,"$50,520 ",4.9,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,375 ",4.8,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,310 ",5,,,,,,,,,,
2017,Honda,Pilot Elite,Used,"$29,500 ",5,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,145 ",5,,,,,,,,,,
2021,Honda,HR-V EX,Used,"$26,495 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,719 ",4.5,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$29,540 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,Honda Certified,"$41,991 ",5,,,,,,,,,,
2021,Honda,HR-V EX,Used,"$29,988 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",4.6,,,,,,,,,,
2022,Honda,HR-V EX-L,New,"$29,395 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",3,,,,,,,,,,
2023,Honda,Ridgeline Black Edition,New,"$45,995 ",5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,000 ",5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,000 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,510 ",4.6,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$49,895 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,240 ",3.9,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$44,000 ",2.4,,,,,,,,,,
2023,Honda,HR-V LX,New,"$26,790 ",4.7,,,,,,,,,,
2021,Honda,Pilot Elite,New,"$49,935 ",3.1,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$45,920 ",3.1,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.4,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",3.2,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",2.8,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$45,945 ",4.6,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,360 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$33,695 ",5,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,600 ",4.8,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$46,400 ",4.8,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,830 ",4.8,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,360 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,150 ",5,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,318 ",4.6,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.8,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$45,313 ",4.6,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,160 ",2.2,,,,,,,,,,
2023,Honda,Odyssey Sport,Used,"$45,000 ",4.5,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$42,655 ",4.9,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$42,448 ",4.2,,,,,,,,,,
2021,Honda,Pilot EX-L,Used,"$33,647 ",5,,,,,,,,,,
2023,Honda,Civic Sport Touring,New,"$32,040 ",4.8,,,,,,,,,,
2023,Honda,HR-V LX,New,"$24,895 ",5,,,,,,,,,,
2022,Honda,Pilot Elite,New,"$52,060 ",4.1,,,,,,,,,,
2011,Honda,Element EX,Used,"$13,978 ",3.9,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$37,883 ",4.4,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$49,305 ",5,,,,,,,,,,
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",5,,,,,,,,,,
2022,Honda,Accord Sport,New,"$34,755 ",4.9,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$29,375 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,655 ",5,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$29,145 ",4.8,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$46,290 ",4.9,,,,,,,,,,
2020,Honda,Pilot EX-L,Used,"$29,990 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,505 ",5,,,,,,,,,,
2022,Honda,Civic Sport,New,"$24,765 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,025 ",4.2,,,,,,,,,,
2022,Honda,CR-V EX-L,New,"$35,040 ",4.5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",5,,,,,,,,,,
2023,Honda,Pilot Sport,New,"$42,595 ",5,,,,,,,,,,
2011,Honda,Odyssey Touring,Used,"$11,999 ",4.6,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$47,165 ",5,,,,,,,,,,
2023,Honda,Civic Sport,New,"$26,940 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.1,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",4.1,,,,,,,,,,
2009,Honda,Ridgeline RTL,Used,"$18,590 ",4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",4.4,,,,,,,,,,
2015,Honda,Civic Si,Used,"$22,998 ",4.7,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,590 ",4.3,,,,,,,,,,
2010,Honda,CR-V EX-L,Used,"$16,590 ",4,,,,,,,,,,
2016,Honda,Odyssey SE,Used,"$23,585 ",4.4,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",3.8,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$40,876 ",3.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$38,276 ",3.8,,,,,,,,,,
2019,Honda,Passport Touring,Used,"$31,238 ",4.7,,,,,,,,,,
2023,Honda,Odyssey Sport,Used,"$41,888 ",4.1,,,,,,,,,,
2020,Honda,Odyssey Elite,Used,"$43,443 ",4.7,,,,,,,,,,
2023,Honda,Pilot EX-L 7-Passenger,New,"$43,595 ",4.9,,,,,,,,,,
2013,Honda,Civic LX,Used,"$12,988 ",4.8,,,,,,,,,,
2023,Honda,Passport EX-L,New,"$39,814 ",5,,,,,,,,,,
2023,Honda,Civic Touring,New,"$30,745 ",5,,,,,,,,,,
2016,Honda,Pilot Elite,Used,"$24,533 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.8,,,,,,,,,,
2021,Honda,Insight EX,Used,"$25,991 ",5,,,,,,,,,,
2009,Honda,CR-V LX,Used,"$15,990 ",4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.3,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$41,500 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.3,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,Used,"$37,875 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$37,750 ",4.4,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,Used,"$36,992 ",4.3,,,,,,,,,,
2021,Honda,CR-V Hybrid Touring,Used,"$34,535 ",3.8,,,,,,,,,,
2018,Honda,Pilot EX,Used,"$23,500 ",4,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$43,815 ",5,,,,,,,,,,
2022,Honda,Passport TrailSport,Used,"$40,984 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,975 ",4.1,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,975 ",4.1,,,,,,,,,,
2019,Honda,Passport Sport,Used,"$25,500 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$29,970 ",3.9,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,510 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,605 ",4.6,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",4.6,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$48,005 ",4.6,,,,,,,,,,
2018,Honda,Clarity Plug-In Hybrid Touring,Used,"$25,990 ",4,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",2.4,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.7,,,,,,,,,,
2019,Honda,Pilot Touring 7-Passenger,Used,"$39,490 ",4.7,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$29,150 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",3.3,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,700 ",3,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",3,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$33,695 ",3,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",3.1,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,788 ",3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,510 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,405 ",4.4,,,,,,,,,,
2015,Honda,Fit EX,Used,"$14,996 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX,New,"$33,855 ",3,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,860 ",3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,510 ",4.9,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",2.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,450 ",2.8,,,,,,,,,,
2023,Honda,Ridgeline Black Edition,New,"$49,380 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.8,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$41,905 ",4.4,,,,,,,,,,
2021,Honda,Accord Hybrid Touring,Honda Certified,"$34,858 ",4.9,,,,,,,,,,
2022,Honda,Pilot Elite,New,"$52,060 ",4.9,,,,,,,,,,
2018,Honda,Odyssey EX-L,Used,"$28,223 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$45,500 ",5,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$48,114 ",4.7,,,,,,,,,,
2021,Honda,CR-V EX,Used,"$26,899 ",4.9,,,,,,,,,,
2020,Honda,Pilot EX-L,Used,"$38,981 ",4.2,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$45,185 ",4.7,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX,New,"$33,855 ",4.9,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.9,,,,,,,,,,
2019,Honda,Pilot Touring 7-Passenger,Used,"$32,923 ",4.9,,,,,,,,,,
2023,Honda,Civic Sport,New,"$25,745 ",4.7,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,360 ",5,,,,,,,,,,
2019,Honda,Insight Touring,Used,"$21,990 ",4.9,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.9,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,310 ",5,,,,,,,,,,
2022,Honda,Passport Elite,New,"$47,225 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",5,,,,,,,,,,
2023,Honda,HR-V LX,New,"$29,940 ",5,,,,,,,,,,
2021,Honda,CR-V EX-L,Used,"$29,555 ",4.4,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,450 ",4.2,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$29,040 ",4.2,,,,,,,,,,
2015,Honda,Civic LX,Used,"$16,995 ",4.7,,,,,,,,,,
2021,Honda,Passport Sport,Used,"$27,990 ",4.6,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,406 ",4.7,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$37,991 ",4.6,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$45,895 ",5,,,,,,,,,,
2010,Honda,Odyssey EX-L,Used,"$15,990 ",4,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$37,159 ",4.8,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$50,915 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,406 ",4.6,,,,,,,,,,
2017,Honda,Ridgeline RTL-T,Used,"$29,569 ",4.8,,,,,,,,,,
2005,Honda,S2000,Used,"$23,568 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",4.9,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$36,803 ",4.5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$41,866 ",4.5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$40,740 ",4.5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$42,988 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$44,935 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,693 ",4.7,,,,,,,,,,
2019,Honda,Odyssey EX-L,Honda Certified,"$33,250 ",4.1,,,,,,,,,,
2023,Honda,HR-V LX,New,"$24,845 ",4.6,,,,,,,,,,
