Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,770 ",4.6,,,,,,,,,,
2022,Honda,Passport Elite,New,"$50,125 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,270 ",4.9,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,270 ",4.9,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2022,Honda,Accord Sport SE,New,"$31,960 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",5,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$42,053 ",4.5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,505 ",4.7,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$50,965 ",4.4,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,470 ",4.8,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$41,486 ",4.6,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$45,760 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2022,Honda,Ridgeline RTL,New,"$42,810 ",5,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,075 ",4.8,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,105 ",4.3,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$46,465 ",5,,,,,,,,,,
